date,sales
2021-01-01,10496
2021-02-01,10679
2021-03-01,12244
2021-04-01,13825
2021-05-01,12669
2021-06-01,13144
2021-07-01,15291
2021-08-01,14669
2021-09-01,13485
2021-10-01,14429
2021-11-01,13261
2021-12-01,13034
2022-01-01,13491
2022-02-01,11098
2022-03-01,11099
2022-04-01,12159
2022-05-01,11719
2022-06-01,13189
2022-07-01,12252
2022-08-01,12177
2022-09-01,15616
2022-10-01,14598
2022-11-01,15650
2022-12-01,14967
2023-01-01,16669
2023-02-01,18121
2023-03-01,17593
2023-04-01,19759
2023-05-01,19301
2023-06-01,19992
2023-07-01,19919
2023-08-01,22470
2023-09-01,20574
2023-10-01,19396
2023-11-01,21068
2023-12-01,18779
